pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID,wpa_rt,after_we_rt
체인지업,김연주,고승민,54368,69517,127,볼,,,,1,1,0,1,B,0,0,0,0,좌,우,장두성,,,김연주,김건희,최주환,송지후,오선진,어준서,이형종,박수종,임지열,68507,,,54368,53312,76267,54394,78756,55392,78135,52305,64340,-1.578,1.736,-11.265,-1.639,-18.94,-40.741,-1.402,5.016,3.457,1.677,50,2.898,-113.522,0.257,-14.815,19.261,-34.329,20250603,LT,WO,롯데,키움,사직,박종철,5,3,250603_171220,20250603WOLT02025,,
직구,김연주,고승민,54368,69517,141,타격,2루타,2루타,고승민 : 좌중간 2루타; 1루주자 장두성 : 홈인;,2,1,0,1,B,0,0,0,1,좌,우,장두성,,,김연주,김건희,최주환,송지후,오선진,어준서,이형종,박수종,임지열,68507,,,54368,53312,76267,54394,78756,55392,78135,52305,64340,-0.134,1.887,-6.116,6.018,-1.61,-21.366,-1.167,4.952,3.457,1.677,50,4.582,-126.33,-3.218,-9.988,23.179,-22.346,20250603,LT,WO,롯데,키움,사직,박종철,5,4,250603_171245,20250603WOLT02025,10.4,68.3
슬라이더,김연주,레이예스,54368,54529,126,스트라이크,,,,0,0,0,1,B,0,1,0,0,양,우,,고승민,,김연주,김건희,최주환,송지후,오선진,어준서,이형종,박수종,임지열,,69517,,54368,53312,76267,54394,78756,55392,78135,52305,64340,0.107,2.33,3.575,-3.097,1.283,-43.747,-1.314,5.062,3.579,1.736,50,2.129,-112.69,2.035,4.609,19.985,-36.167,20250603,LT,WO,롯데,키움,사직,박종철,6,1,250603_171341,20250603WOLT02025,,
체인지업,김연주,레이예스,54368,54529,129,볼,,,,0,1,0,1,B,0,1,0,0,양,우,,고승민,,김연주,김건희,최주환,송지후,오선진,어준서,이형종,박수종,임지열,,69517,,54368,53312,76267,54394,78756,55392,78135,52305,64340,-0.455,1.222,-11.722,4.287,-5.464,-30.637,-1.272,5.029,3.579,1.736,50,5.319,-115.338,-2.852,-15.746,22.005,-26.415,20250603,LT,WO,롯데,키움,사직,박종철,6,2,250603_171357,20250603WOLT02025,,
직구,김연주,레이예스,54368,54529,142,헛스윙,,,,1,1,0,1,B,0,1,0,0,양,우,,고승민,,김연주,김건희,최주환,송지후,오선진,어준서,이형종,박수종,임지열,,69517,,54368,53312,76267,54394,78756,55392,78135,52305,64340,-0.007,2.35,-8.12,5.516,-0.086,-21.962,-1.362,4.924,3.579,1.736,50,6.058,-126.971,-1.87,-13.334,24.539,-23.115,20250603,LT,WO,롯데,키움,사직,박종철,6,3,250603_171416,20250603WOLT02025,,
직구,김연주,레이예스,54368,54529,138,타격,홈런,홈런,레이예스 : 우익수 뒤 홈런 (홈런거리:120M); 2루주자 고승민 : 홈인;,1,2,0,1,B,0,1,0,2,양,우,,고승민,,김연주,김건희,최주환,송지후,오선진,어준서,이형종,박수종,임지열,,69517,,54368,53312,76267,54394,78756,55392,78135,52305,64340,0.3,2.958,-4.951,5.709,3.594,-23.497,-1.138,5.087,3.579,1.736,50,5.079,-123.515,-0.418,-7.666,24.052,-23.333,20250603,LT,WO,롯데,키움,사직,박종철,6,4,250603_171436,20250603WOLT02025,10.1,78.4
슬라이더,김연주,전준우,54368,78513,122,스트라이크,,,,0,0,0,1,B,0,3,0,0,우,우,,,,김연주,김건희,최주환,송지후,오선진,어준서,이형종,박수종,임지열,,,,54368,53312,76267,54394,78756,55392,78135,52305,64340,0.756,1.773,-0.446,-1.551,9.074,-43.679,-1.273,5.117,3.389,1.644,50,4.515,-109.844,0.638,-0.542,20.6,-34.056,20250603,LT,WO,롯데,키움,사직,박종철,7,1,250603_171539,20250603WOLT02025,,
직구,김연주,전준우,54368,78513,140,볼,,,,0,1,0,1,B,0,3,0,0,우,우,,,,김연주,김건희,최주환,송지후,오선진,어준서,이형종,박수종,임지열,,,,54368,53312,76267,54394,78756,55392,78135,52305,64340,2.076,1.962,-9.951,5.963,24.915,-22.303,-1.129,4.98,3.389,1.644,50,11.12,-124.923,-2.867,-15.803,23.985,-22.704,20250603,LT,WO,롯데,키움,사직,박종철,7,2,250603_171555,20250603WOLT02025,,
직구,김연주,전준우,54368,78513,144,파울,,,,1,1,0,1,B,0,3,0,0,우,우,,,,김연주,김건희,최주환,송지후,오선진,어준서,이형종,박수종,임지열,,,,54368,53312,76267,54394,78756,55392,78135,52305,64340,0.442,2.787,-11.908,3.534,5.306,-24.198,-1.385,4.929,3.389,1.644,50,8.597,-129.489,-0.32,-20.086,28.692,-26.214,20250603,LT,WO,롯데,키움,사직,박종철,7,3,250603_171611,20250603WOLT02025,,
커브,김연주,전준우,54368,78513,117,볼,,,,1,2,0,1,B,0,3,0,0,우,우,,,,김연주,김건희,최주환,송지후,오선진,어준서,이형종,박수종,임지열,,,,54368,53312,76267,54394,78756,55392,78135,52305,64340,-1.458,4.833,5.615,-12.304,-17.495,-64.302,-1.514,5.729,3.389,1.644,50,-1.395,-104.546,9.232,6.249,16.708,-45.867,20250603,LT,WO,롯데,키움,사직,박종철,7,4,250603_171633,20250603WOLT02025,,
직구,김연주,전준우,54368,78513,142,파울,,,,2,2,0,1,B,0,3,0,0,우,우,,,,김연주,김건희,최주환,송지후,오선진,어준서,이형종,박수종,임지열,,,,54368,53312,76267,54394,78756,55392,78135,52305,64340,-0.003,3.356,-9.983,4.933,-0.042,-22.627,-1.222,5.068,3.389,1.644,50,6.348,-127.712,0.439,-16.518,25.846,-24.011,20250603,LT,WO,롯데,키움,사직,박종철,7,5,250603_171652,20250603WOLT02025,,
슬라이더,김연주,전준우,54368,78513,126,파울,,,,2,2,0,1,B,0,3,0,0,우,우,,,,김연주,김건희,최주환,송지후,오선진,어준서,이형종,박수종,임지열,,,,54368,53312,76267,54394,78756,55392,78135,52305,64340,-0.537,3.264,1.747,0.579,-6.443,-38.453,-1.31,5.348,3.389,1.644,50,1.21,-112.355,2.483,2.225,21.056,-31.437,20250603,LT,WO,롯데,키움,사직,박종철,7,6,250603_171720,20250603WOLT02025,,
슬라이더,김연주,전준우,54368,78513,127,볼,,,,2,2,0,1,B,0,3,0,0,우,우,,,,김연주,김건희,최주환,송지후,오선진,어준서,이형종,박수종,임지열,,,,54368,53312,76267,54394,78756,55392,78135,52305,64340,1.901,2.077,0.328,-1.211,22.817,-39.956,-1.11,5.221,3.389,1.644,50,6.686,-114.613,0.417,0.431,23.476,-33.767,20250603,LT,WO,롯데,키움,사직,박종철,7,7,250603_171752,20250603WOLT02025,,
직구,김연주,전준우,54368,78513,142,타격,안타,안타,전준우 : 좌중간 1루타;,3,2,0,1,B,0,3,0,0,우,우,,,,김연주,김건희,최주환,송지후,오선진,어준서,이형종,박수종,임지열,,,,54368,53312,76267,54394,78756,55392,78135,52305,64340,0.11,2.873,-9.442,5.743,1.32,-21.541,-1.376,4.966,3.389,1.644,50,6.822,-127.71,-0.749,-15.521,27.454,-22.734,20250603,LT,WO,롯데,키움,사직,박종철,7,8,250603_171810,20250603WOLT02025,1.7,80.1
직구,김연주,윤동희,54368,52591,142,스트라이크,,,,0,0,0,1,B,0,3,0,0,우,우,전준우,,,김연주,김건희,최주환,송지후,오선진,어준서,이형종,박수종,임지열,78513,,,54368,53312,76267,54394,78756,55392,78135,52305,64340,-0.079,2.397,-11.056,7.935,-0.954,-18.901,-1.288,5.168,3.446,1.671,50,6.568,-126.398,-2.971,-17.715,28.067,-19.461,20250603,LT,WO,롯데,키움,사직,박종철,8,1,250603_171939,20250603WOLT02025,,
직구,김연주,윤동희,54368,52591,142,타격,안타,안타,윤동희 : 중견수 앞 1루타; 1루주자 전준우 : 2루까지 진루;,0,1,0,1,B,0,3,0,0,우,우,전준우,,,김연주,김건희,최주환,송지후,오선진,어준서,이형종,박수종,임지열,78513,,,54368,53312,76267,54394,78756,55392,78135,52305,64340,0.659,2.785,-9.387,7.64,7.909,-18.722,-1.139,5.123,3.446,1.671,50,7.574,-127.351,-1.955,-15.363,26.985,-19.669,20250603,LT,WO,롯데,키움,사직,박종철,8,2,250603_171958,20250603WOLT02025,2.8,82.9
슬라이더,김연주,전민재,54368,68205,128,볼,,,,0,0,0,1,B,0,3,0,0,우,우,윤동희,전준우,,김연주,김건희,최주환,송지후,오선진,어준서,이형종,박수종,임지열,52591,78513,,54368,53312,76267,54394,78756,55392,78135,52305,64340,1.127,1.365,-0.139,1.319,13.519,-34.935,-1.105,5.175,3.325,1.613,50,5.139,-115.133,-2.055,-0.188,18.973,-30.382,20250603,LT,WO,롯데,키움,사직,박종철,9,1,250603_172044,20250603WOLT02025,,
